w,y,square_meters,bathrooms_number,lift,rooms_number,other_features,total_floors_in_building,car_parking,availability,condominium_fees,year_of_construction,conditions,zone,floor,heating_centralized,energy_efficiency_class
1,130000,30,1,yes,1,optic fiber | video entryphone | security door | internal exposure | balcony | half-day concierge | single tv system | cellar | shared garden | window frames in glass / wood,6,"1 in garage/box, 1 in shared parking",NA,108,1950,to be refurbished,corvetto,4,central,g
1,262000,80,1,yes,3,electric gate | optic fiber | security door | balcony | full day concierge | single tv system | cellar | shared garden | window frames in double glass / metal | double exposure,6,1 in garage/box,available,183,1965,good condition / liveable,niguarda,1,central,f
1,100000,50,1,yes,2,electric gate | optic fiber | video entryphone | security door | balcony | full day concierge | tv system with satellite dish | cellar | window frames in double glass / pvcdouble exposure,12,no,available,100,1960,good condition / liveable,repubblica,3,independent,f
1,299000,115,1,yes,3,electric gate | video entryphone | security door | internal exposure | balcony | terrace | full day concierge | centralized tv system | cellar | shared garden,7,1 in garage/box,available,290,1974,to be refurbished,quartiere adriano,2,central,NA
1,284000,73,1,yes,2,electric gate | optic fiber | video entryphone | alarm system | security door | balcony | centralized tv system | furnished | shared garden | window frames in glass / metal | double exposure,5,no,available,190,1980,good condition / liveable,cantalupa - san paolo,4,independent,f
1,189000,50,1,yes,2,electric gate | optic fiber | video entryphone | security door | external exposure | balcony | terrace | centralized tv system | window frames in double glass / wood,4,no,available,NA,2000,good condition / liveable,quarto cagnino,2,independent,c
1,950000,152,2,yes,3,optic fiber | video entryphone | security door | balcony | full day concierge | centralized tv system | window frames in glass / metal | double exposure,8,no,available,500,1970,to be refurbished,washington,5,central,g
1,470000,75,1,yes,2,optic fiber | security door | closet | balcony | half-day concierge | centralized tv system | cellar | window frames in glass / wood | double exposure,7,no,available,210,1930,good condition / liveable,solari,1,central,d
1,399000,130,2,yes,5,electric gate | optic fiber | video entryphone | security door | internal exposure | closet | balcony | terrace | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / metal,13,no,available,167,1980,good condition / liveable,bruzzano,8,central,f
1,159000,55,1,no,2,optic fiber | video entryphone | window frames in glass / wood | double exposure,4,2 in garage/box,available,80,1930,to be refurbished,parco trotter,3,independent,f
1,675000,100,2,yes,3,electric gate | optic fiber | video entryphone | security door | internal exposure | balcony | full day concierge | centralized tv system | shared garden | window frames in triple glass / pvc,5,1 in garage/box,available,250,1960,excellent / refurbished,dezza,mezzanine,central,g
1,521000,115,1,yes,4,security door | balcony | cellar,6,no,available,No condominium fees,NA,new / under construction,certosa,1,central,g
1,179000,50,1,no,2,optic fiber | security door | internal exposure | partially furnished | window frames in double glass / pvc,3,no,NA,No condominium fees,1900,good condition / liveable,pasteur,ground floor,central,f
1,340000,72,1,yes,2,electric gate | video entryphone | security door | closet | full day concierge | single tv system | shared garden | window frames in glass / wood | double exposure,8,no,available,160,NA,good condition / liveable,città studi,8,central,e
1,370000,64,2,yes,3,electric gate | optic fiber | video entryphone | security door | closet | balcony | full day concierge | centralized tv system | furnished | cellar | window frames in double glass / pvcdouble exposure,8,no,available,110,1960,excellent / refurbished,san siro,1,central,f
1,470000,60,1,yes,2,security door | full day concierge | cellar | window frames in glass / wood | double exposure,7,no,NA,270,NA,to be refurbished,lanza,1,central,g
1,840000,136,2,yes,4,optic fiber | video entryphone | security door | balcony | centralized tv system | window frames in glass / wood | double exposure,8,no,available,180,1950,to be refurbished,porta vittoria,7,central,g
1,319000,42,1,yes,1,optic fiber | security door | external exposure | centralized tv system | partially furnished | cellar | window frames in double glass / wood,5,no,available,NA,1960,excellent / refurbished,corso genova,3,central,g
1,248000,45,1,yes,2,electric gate | optic fiber | internal exposure | full day concierge | centralized tv system | cellar | shared garden | window frames in glass / pvc,3,no,available,250,1970,to be refurbished,farini,1,central,f
1,370000,92,2,yes,3,electric gate | optic fiber | video entryphone | security door | balcony | centralized tv system | partially furnished | cellar | shared garden | window frames in triple glass / pvcdouble exposure,4,no,available,100,1975,excellent / refurbished,inganni,1,central,NA
1,588000,150,2,yes,3,electric gate | optic fiber | video entryphone | alarm system | security door | closet | terrace | shared garden | window frames in double glass / pvcdouble exposure,8,no,available,200,2000,excellent / refurbished,greco - segnano,7,independent,d
1,888000,110,2,yes,3,electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | full day concierge | centralized tv system | partially furnished | shared garden | window frames in double glass / metal | double exposure,10,1 in garage/box,available from 15/01/2026,330,1930,excellent / refurbished,repubblica,2,central,e
1,2250000,200,2,yes,4,terrace | double exposure,4,no,available,350,NA,good condition / liveable,moscova,4,independent,g
1,1350000,135,3,yes,4,electric gate | optic fiber | video entryphone | security door | closet | terrace | full day concierge | centralized tv system | only kitchen furnished | cellar | window frames in double glass / metal | double exposure,12,1 in garage/box,available,350,1960,excellent / refurbished,centrale,8,central,NA
1,465000,111,2,yes,3,electric gate | optic fiber | video entryphone | security door | external exposure | closet | balcony | terrace | full day concierge | centralized tv system | partially furnished | shared garden | window frames in double glass / wood,6,no,available,NA,2008,new / under construction,cascina gobba,4,independent,a
1,310000,80,1,no,3,electric gate | internal exposure | terrace | half-day concierge | centralized tv system | cellar | window frames in glass / wood,4,no,available,250,1965,to be refurbished,città studi,mezzanine,central,g
1,251000,68,1,yes,2,optic fiber | security door | balcony | half-day concierge | centralized tv system | cellar | window frames in double glass / metal,5,no,available,220,1960,to be refurbished,san siro,5,central,g
1,379000,80,1,yes,4,optic fiber | video entryphone | security door | internal exposure | terrace | centralized tv system | furnished | window frames in double glass / pvc,5,no,available,200,2010,excellent / refurbished,rovereto,1,independent,d
1,225000,55,1,no,2,optic fiber | security door | internal exposure | balcony | centralized tv system | partially furnished | window frames in double glass / pvc,4,no,available,NA,1930,excellent / refurbished,cermenate - abbiategrasso,3,independent,NA
1,220000,90,2,no,3,electric gate | optic fiber | security door | internal exposure | terrace | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / metal,5,no,available,183,1960,to be refurbished,san carlo,1,central,f
1,320000,57,1,yes,2,electric gate | optic fiber | video entryphone | security door | external exposure | balcony | centralized tv system | furnished | window frames in double glass / pvc,5,no,available,100,1960,excellent / refurbished,san carlo,3,central,f
1,540000,85,2,yes,3,optic fiber | video entryphone | alarm system | security door | internal exposure | full day concierge | centralized tv system | only kitchen furnished | window frames in double glass / pvc,6,no,available,120,1965,new / under construction,dezza,1,central,c
1,402000,105,2,yes,4,electric gate | optic fiber | video entryphone | security door | closet | balcony | terrace | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / wood | double exposure,8,1 in shared parking,available,145,2010,excellent / refurbished,quartiere adriano,3,independent,g
1,1071000,173,2,yes,4,electric gate | optic fiber | video entryphone | security door | terrace | full day concierge | pool | centralized tv system | cellar | shared garden | window frames in double glass / metal | double exposure,23,no,available,NA,2027,new / under construction,cascina merlata - musocco,1,central,NA
1,890000,170,3,yes,4,balcony | full day concierge | cellar | shared garden,8,no,available,417,1965,good condition / liveable,solari,1,central,e
1,350000,69,1,yes,3,"kitchen | balcony | furnished | cellar | private and shared garden | window frames in triple glass / pvcexposure north, south",5,no,available,167,1960,excellent / refurbished,baggio,1,central,d
1,260000,65,2,no,3,optic fiber | video entryphone | security door | internal exposure | closet | balcony | half-day concierge | centralized tv system | furnished | window frames in glass / pvc,4,no,available,120,1961,excellent / refurbished,corvetto,1,central,e
1,1150000,140,2,yes,4,optic fiber | video entryphone | security door | external exposure | balcony | full day concierge | centralized tv system | shared garden | window frames in double glass / pvc,7,no,available,375,1970,excellent / refurbished,ticinese,1,central,d
1,379000,65,1,yes,2,hydromassage | optic fiber | security door | external exposure | closet | balcony | single tv system | only kitchen furnished | cellar | window frames in double glass / pvc,6,no,NA,100,1960,excellent / refurbished,porta vittoria,1,central,d
1,939000,135,2,yes,4,hydromassage | optic fiber | video entryphone | alarm system | security door | closet | balcony | centralized tv system | partially furnished | cellar | window frames in double glass / pvcdouble exposure,4,no,available,210,1930,excellent / refurbished,isola,3,independent,e
1,159000,30,1,yes,1,electric gate | optic fiber | video entryphone | security door | internal exposure | balcony | full day concierge | centralized tv system | partially furnished | shared garden | window frames in double glass / pvc,6,no,available from 01/07/2024,75,1970,good condition / liveable,gallaratese,4,central,e
1,445000,63,1,yes,2,optic fiber | security door | external exposure | closet | single tv system | furnished | window frames in glass / pvc,3,no,available,55,1900,excellent / refurbished,indipendenza,ground floor,independent,e
1,260000,66,1,yes,2,electric gate | optic fiber | security door | internal exposure | closet | balcony | full day concierge | centralized tv system | furnished | cellar | shared garden | window frames in glass / metal,4,1 in garage/box,NA,200,1990,excellent / refurbished,città studi,4,central,f
1,259000,45,1,yes,2,balcony | partially furnished | shared garden,3,1 in garage/box,NA,No condominium fees,2000,excellent / refurbished,famagosta,1,independent,f
1,445000,78,1,yes,3,electric gate | security door | closet | centralized tv system | partially furnished | window frames in double glass / wood | double exposure,7,no,available,250,1960,excellent / refurbished,navigli - darsena,1,central,e
1,405000,107,2,yes,3,electric gate | optic fiber | video entryphone | alarm system | security door | balcony | centralized tv system | cellar | window frames in triple glass / pvc,11,no,available,NA,2027,new / under construction,cascina merlata - musocco,2,central,a
1,1100000,162,2,yes,4,attic | optic fiber | security door | balcony | half-day concierge | centralized tv system | cellar | window frames in double glass / pvcdouble exposure,4,no,available,520,1940,good condition / liveable,piave - tricolore,3,central,NA
1,310000,114,2,yes,4,electric gate | optic fiber | security door | balcony | full day concierge | centralized tv system | cellar | shared garden | double exposure,4,"1 in garage/box, 1 in shared parking",available,250,1963,excellent / refurbished,quartiere forlanini,mezzanine,central,g
1,188000,45,1,no,2,optic fiber | security door | centralized tv system | shared garden | window frames in double glass / pvcdouble exposure,4,no,available from 30/09/2024,140,1960,good condition / liveable,tre castelli - faenza,mezzanine,central,g
1,319000,40,1,no,2,electric gate | optic fiber | security door | balcony | half-day concierge | centralized tv system | furnished | window frames in double glass / pvc,4,1 in shared parking,available,70,1940,excellent / refurbished,isola,1,independent,e
1,310000,85,1,yes,3,optic fiber | security door | full day concierge | centralized tv system | double exposure,5,no,NA,200,1950,good condition / liveable,cermenate - abbiategrasso,ground floor,central,g
1,769000,115,2,yes,4,security door | balcony | full day concierge | cellar,NA,no,available,No condominium fees,NA,new / under construction,sempione,1,central,g
1,1255000,115,2,no,4,tennis court | electric gate | optic fiber | security door | closet | balcony | terrace | full day concierge | centralized tv system | furnished | cellar | double exposure,4,no,available,330,NA,good condition / liveable,paolo sarpi,3,central,c
1,1600000,226,3,yes,5+,hydromassage | electric gate | video entryphone | alarm system | security door | closet | balcony | half-day concierge | centralized tv system | partially furnished | cellar | window frames in double glass / wood | double exposure,4,1 in garage/box,available,534,1950,excellent / refurbished,repubblica,2,central,d
1,450000,38,1,yes,1,full day concierge | furnished,5,1 in shared parking,available,200,1960,excellent / refurbished,duomo,2,central,g
1,949000,120,2,yes,4,optic fiber | security door | balcony | centralized tv system | cellar | window frames in double glass / pvcdouble exposure,7,no,available,NA,1960,excellent / refurbished,washington,3,central,e
1,650000,100,2,yes,3,electric gate | optic fiber | video entryphone | security door | balcony | half-day concierge | centralized tv system | cellar | shared garden | window frames in double glass / metal | double exposure,5,no,available,200,NA,to be refurbished,buenos aires,3,central,g
1,150000,60,1,yes,3,attic | optic fiber | security door | balcony | centralized tv system | window frames in double glass / wood,2,no,NA,150,1962,good condition / liveable,niguarda,2,independent,g
1,652000,93,2,yes,3,electric gate | optic fiber | video entryphone | security door | terrace | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure,6,no,available,NA,2024,new / under construction,città studi,1,central,a
1,110000,35,1,yes,1,optic fiber | security door | balcony | centralized tv system | window frames in glass / wood,5,no,available,100,1960,excellent / refurbished,cimiano,5,central,g
1,195000,42,1,yes,2,optic fiber | balcony | centralized tv system | shared garden | window frames in double glass / pvcdouble exposure,5,no,NA,130,1960,good condition / liveable,casoretto,4,central,g
1,690000,140,2,yes,4,electric gate | video entryphone | alarm system | security door | closet | balcony | terrace | full day concierge | furnished | cellar | double exposure,6,no,available,390,1967,good condition / liveable,rovereto,4,central,g
1,691750,151,2,yes,4,electric gate | optic fiber | video entryphone | alarm system | security door | internal exposure | terrace | centralized tv system | cellar | shared garden | window frames in double glass / metal,4,no,available,NA,2023,new / under construction,precotto,1,central,a
1,1230000,190,2,yes,5+,optic fiber | security door | closet | balcony | full day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure,3,no,available,300,1920,excellent / refurbished,sempione,3,independent,c
1,297000,76,1,yes,3,attic | optic fiber | video entryphone | security door | closet | balcony | half-day concierge | centralized tv system | furnished | cellar | window frames in double glass / metal | double exposure,8,no,available,210,1930,good condition / liveable,ghisolfa - mac mahon,4,central,f
1,149000,47,1,no,2,electric gate | optic fiber | security door | internal exposure | centralized tv system | furnished | shared garden | window frames in double glass / metal,1 floor,no,available,50,1940,excellent / refurbished,baggio,ground floor,central,NA
1,299000,107,1,yes,4,optic fiber | security door | balcony | centralized tv system | furnished | shared garden | window frames in double glass / metal | double exposure,6,1 in garage/box,available,242,1970,good condition / liveable,bignami - ponale,1,central,g
1,172000,29,1,yes,2,optic fiber | video entryphone | security door | centralized tv system | furnished | window frames in glass / pvcdouble exposure,5,no,available from 01/06/2024,70,1920,excellent / refurbished,pezzotti - meda,5,independent,g
1,329000,70,1,yes,3,optic fiber | alarm system | security door | external exposure | closet | centralized tv system | furnished | cellar | window frames in double glass / metal,3,no,available,100,NA,excellent / refurbished,pezzotti - meda,ground floor,independent,d
1,279000,100,1,yes,3,optic fiber | video entryphone | balcony | full day concierge | centralized tv system | window frames in double glass / metal | double exposure,9,no,available,225,1970,to be refurbished,gallaratese,6,central,e
1,615000,116,2,no,3,balcony | private garden,NA,no,available,No condominium fees,NA,new / under construction,barona,ground floor,central,a
1,415000,130,2,yes,4,electric gate | optic fiber | video entryphone | security door | closet | balcony | terrace | half-day concierge | centralized tv system | partially furnished | cellar | window frames in double glass / wood | double exposure,12,1 in shared parking,available,200,1991,good condition / liveable,quartiere adriano,5,central,e
1,680000,105,2,no,3,optic fiber | video entryphone | security door | half-day concierge | centralized tv system | cellar | window frames in double glass / wood | double exposure,4,no,available,200,1970,good condition / liveable,guastalla,mezzanine,central,g
1,1840000,185,3,yes,5,electric gate | alarm system | security door | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in glass / wood | double exposure,7,1 in garage/box,available,1000,1900,to be refurbished,vincenzo monti,2,central,NA
1,459000,75,1,yes,2,electric gate | optic fiber | security door | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / wood | double exposure,6,no,available,250,1960,good condition / liveable,indipendenza,mezzanine,central,g
1,492000,68,1,yes,2,optic fiber | security door | centralized tv system | partially furnished | cellar | window frames in double glass / wood | double exposure,5,no,available,NA,1960,excellent / refurbished,solari,mezzanine,central,g
1,510000,55,1,yes,2,optic fiber | security door | closet | full day concierge | centralized tv system | furnished | shared garden | window frames in double glass / pvcdouble exposure,4,no,available,80,1930,excellent / refurbished,buenos aires,1,independent,f
1,268900,110,1,yes,4,full day concierge | centralized tv system | shared garden | window frames in glass / wood | double exposure,7,no,available,NA,1962,good condition / liveable,comasina,ground floor,central,e
1,692000,90,2,yes,3,security door | balcony | full day concierge | cellar,8,no,available,No condominium fees,NA,new / under construction,piazza napoli,7,central,g
1,210000,84,1,yes,3,balcony,9,no,available,183,1968,good condition / liveable,gratosoglio,9,central,g
1,289000,54,1,yes,2,electric gate | optic fiber | video entryphone | security door | balcony | centralized tv system | cellar | shared garden | window frames in double glass / pvcdouble exposure,5,no,available,130,NA,excellent / refurbished,molise - cuoco,2,central,NA
1,65000,20,1,yes,1,security door | internal exposure | centralized tv system | furnished | shared garden | window frames in double glass / pvc,9,no,NA,50,1960,excellent / refurbished,turro,ground floor,independent,g
1,250000,68,1,yes,2,electric gate | optic fiber | video entryphone | alarm system | security door | balcony | half-day concierge | centralized tv system | cellar | window frames in double glass / pvcdouble exposure,5,no,available,160,1960,excellent / refurbished,san siro,5,central,g
1,645000,130,2,yes,4,electric gate | optic fiber | video entryphone | security door | balcony | full day concierge | centralized tv system | shared garden | window frames in double glass / pvcdouble exposure,8,no,available,330,1970,to be refurbished,giambellino,4,central,a
1,194000,72,1,yes,2,electric gate | security door | balcony | single tv system | furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure,9,"1 in garage/box, 1 in shared parking",available,200,1960,excellent / refurbished,affori,3,central,NA
1,220000,66,1,yes,3,electric gate | optic fiber | security door | internal exposure | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / pvc,8,no,available,170,NA,excellent / refurbished,comasina,1,central,e
1,625000,130,2,yes,3,electric gate | security door | balcony | full day concierge | centralized tv system | partially furnished | cellar | window frames in triple glass / pvcdouble exposure,12,1 in garage/box,available,200,1950,excellent / refurbished,argonne - corsica,5,central,g
1,235000,31,1,yes,1,terrace | full day concierge | furnished | shared garden,9,no,available,200,1960,excellent / refurbished,città studi,9,NA,f
1,418000,75,1,yes,3,optic fiber | security door | balcony | centralized tv system | partially furnished | shared garden | window frames in double glass / pvcdouble exposure,8,no,NA,150,1950,excellent / refurbished,città studi,8,central,g
1,419000,92,2,yes,3,electric gate | optic fiber | video entryphone | alarm system | security door | terrace | centralized tv system | partially furnished | cellar | window frames in double glass / wood | double exposure,5,1 in garage/box,available,133,2008,excellent / refurbished,bruzzano,1,central,c
1,800000,81,1,yes,3,video entryphone | alarm system | security door | internal exposure | terrace | full day concierge | centralized tv system | furnished | cellar | window frames in double glass / wood,5,no,available,208,NA,excellent / refurbished,corso san gottardo,5,independent,d
1,255000,70,1,yes,2,electric gate | optic fiber | security door | external exposure | closet | balcony | full day concierge | centralized tv system | furnished | cellar | window frames in double glass / pvc,7,no,available,180,1960,excellent / refurbished,bovisa,2,central,e
1,435000,45,1,no,2,electric gate | fireplace | optic fiber | video entryphone | alarm system | security door | closet | centralized tv system | furnished | cellar | window frames in double glass / pvcdouble exposure,5,no,available,140,1850,excellent / refurbished,carrobbio,3,central,g
1,1990000,245,3+,yes,5+,fireplace | optic fiber | video entryphone | security door | closet | balcony | centralized tv system | partially furnished | cellar | window frames in double glass / metal | double exposure,4,1 in garage/box,available,800,1960,good condition / liveable,washington,4,central,g
1,190000,40,1,yes,1,optic fiber | video entryphone | security door | external exposure | centralized tv system | furnished | window frames in double glass / pvc,5,no,available,90,1960,excellent / refurbished,martini - insubria,semi-basement,independent,f
1,385000,55,1,no,2,electric gate | optic fiber | video entryphone | security door | internal exposure | tv system with satellite dish | shared garden | window frames in double glass / wood,4,no,available,300,1900,good condition / liveable,ticinese,2,central,g
1,890000,135,2,yes,3,optic fiber | security door | balcony | half-day concierge | centralized tv system | cellar | window frames in double glass / wood | double exposure,5,no,available,250,1960,good condition / liveable,carrobbio,2,central,g
1,874000,126,2,yes,4,electric gate | optic fiber | video entryphone | alarm system | security door | terrace | full day concierge | centralized tv system | cellar | shared garden | window frames in double glass / wood | double exposure,7,1 in shared parking,NA,NA,2024,new / under construction,città studi,1,central,a
1,2050000,230,2,yes,4,electric gate | optic fiber | video entryphone | alarm system | security door | closet | balcony | terrace | full day concierge | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / pvcdouble exposure,7,1 in garage/box,available,No condominium fees,2024,new / under construction,solari,4,independent,a
1,230000,70,1,no,2,electric gate | optic fiber | security door | internal exposure | balcony | full day concierge | centralized tv system | cellar | window frames in double glass / metal,4,no,available from 31/12/2024,150,1960,good condition / liveable,quartiere forlanini,3,central,f
1,159000,72,1,no,2,furnished | cellar,1 floor,no,available,58,1960,good condition / liveable,bruzzano,ground floor,independent,f
1,485000,60,1,no,2,optic fiber | security door | closet | half-day concierge | centralized tv system | partially furnished | window frames in double glass / pvcdouble exposure,5,no,available,100,1960,good condition / liveable,lodi - brenta,2,central,d
1,360000,45,1,yes,1,electric gate | optic fiber | video entryphone | closet | balcony | full day concierge | centralized tv system | furnished | cellar | shared garden | window frames in double glass / wood | double exposure,4,no,available,120,1800,excellent / refurbished,carrobbio,3,independent,e
1,221000,65,1,yes,2,electric gate | optic fiber | security door | internal exposure | closet | balcony | half-day concierge | centralized tv system | furnished | shared garden | window frames in double glass / pvc,8,no,available,140,1960,excellent / refurbished,niguarda,4,central,g
1,295000,53,1,yes,2,optic fiber | video entryphone | security door | centralized tv system | furnished | window frames in double glass / metal | double exposure,4,no,available,50,1900,excellent / refurbished,dergano,4,independent,g
1,199000,45,1,yes,2,security door | external exposure | centralized tv system | shared garden | window frames in double glass / pvc,4,no,available,95,1950,excellent / refurbished,corvetto,2,independent,d
1,260000,100,1,yes,3,alarm system | balcony | cellar | shared garden,4,no,available,220,1965,excellent / refurbished,baggio,2,central,e
1,430000,140,2,no,3,tavern | security door | closet | balcony | terrace | window frames in double glass / wood | double exposure,3,no,NA,200,1920,excellent / refurbished,pasteur,1,independent,NA
1,145000,51,1,no,2,electric gate | optic fiber | security door | internal exposure | centralized tv system | cellar | window frames in double glass / wood,3,no,NA,65,1965,excellent / refurbished,baggio,ground floor,independent,e
1,419000,90,1,yes,3,optic fiber | video entryphone | security door | balcony | centralized tv system | partially furnished | cellar | window frames in double glass / pvcdouble exposure,7,no,available,250,1960,excellent / refurbished,giambellino,7,central,g
1,660000,150,2,yes,4,electric gate | optic fiber | security door | terrace | half-day concierge | centralized tv system | cellar | shared garden | window frames in glass / wood | double exposure,6,1 in garage/box,available,500,1970,to be refurbished,bande nere,5,central,f
1,870000,140,1,yes,3,electric gate | tavern | optic fiber | security door | internal exposure | full day concierge | single tv system | cellar | private garden | window frames in double glass / pvc,5,no,available,250,1930,good condition / liveable,buenos aires,mezzanine,central,e
1,1900000,700,3+,no,5+,hydromassage | electric gate | fireplace | tavern | optic fiber | video entryphone | alarm system | security door | closet | balcony | terrace | single tv system | cellar | private garden | window frames in glass / metal | double exposure,1 floor,"2 in garage/box, 1 in shared parking",available,200,1972,good condition / liveable,gallaratese,ground floor,independent,f
1,550000,106,2,yes,3,optic fiber | balcony | centralized tv system | partially furnished | cellar,5,no,available,342,1930,excellent / refurbished,pasteur,2,central,g
1,298000,48,1,no,2,optic fiber | security door | external exposure | balcony | centralized tv system | furnished | window frames in double glass / pvc,3,no,available,60,1950,excellent / refurbished,maggiolina,3,independent,e
1,265000,47,1,yes,2,electric gate | optic fiber | security door | balcony | half-day concierge | tv system with satellite dish | cellar | shared garden | window frames in double glass / pvcdouble exposure,8,no,available,166,NA,good condition / liveable,bande nere,5,central,f
1,180000,82,1,yes,3,electric gate | optic fiber | video entryphone | security door | closet | balcony | centralized tv system | cellar | window frames in triple glass / pvcdouble exposure,5,no,NA,233,1960,good condition / liveable,molise - cuoco,1,central,g
1,795000,115,1,yes,3,electric gate | optic fiber | video entryphone | security door | balcony | terrace | full day concierge | centralized tv system | shared garden | window frames in double glass / wood | double exposure,6,no,available,NA,1940,good condition / liveable,centrale,4,central,e
1,1800000,190,2,yes,5,optic fiber | alarm system | security door | closet | full day concierge | centralized tv system | only kitchen furnished | shared garden | window frames in double glass / wood | double exposure,6,no,available,600,1929,excellent / refurbished,amendola - buonarroti,1,central,NA
1,650000,113,2,yes,3,electric gate | alarm system | security door | balcony | terrace | full day concierge | centralized tv system | furnished | cellar | shared garden | window frames in glass / wood | double exposure,6,1 in garage/box,available,250,2010,excellent / refurbished,portello - parco vittoria,5,central,c
1,490000,120,1,NA,3,electric gate | video entryphone | alarm system | security door | internal exposure | closet | full day concierge | centralized tv system | furnished | window frames in double glass / pvc,5,no,available,200,1960,excellent / refurbished,de angeli,semi-basement,central,e
1,227000,65,1,yes,2,electric gate | optic fiber | video entryphone | security door | internal exposure | balcony | centralized tv system | partially furnished | cellar | shared garden | window frames in double glass / wood,7,1 in garage/box,available,NA,2000,good condition / liveable,santa giulia,1,independent,e
1,470000,90,1,yes,3,electric gate | security door | centralized tv system | furnished | window frames in double glass / pvcdouble exposure,5,1 in shared parking,NA,150,1970,good condition / liveable,martini - insubria,ground floor,central,e
1,190000,49,1,yes,2,electric gate | optic fiber | video entryphone | alarm system | security door | centralized tv system | window frames in double glass / pvcdouble exposure,10,no,available,NA,2024,new / under construction,vialba,1,central,a
1,290000,78,1,yes,3,balcony | cellar | double exposure,5,no,available,80,1960,to be refurbished,prato centenaro,5,independent,g
1,489000,115,1,yes,4,attic | optic fiber | video entryphone | security door | balcony | full day concierge | centralized tv system | cellar | window frames in glass / wood | double exposure,5,no,available,292,1935,good condition / liveable,città studi,mezzanine,central,g
1,587284,162,2,yes,4,balcony | terrace | cellar,8,no,NA,No condominium fees,2023,new / under construction,bruzzano,6,NA,a
1,274000,80,1,yes,2,electric gate | optic fiber | video entryphone | security door | balcony | centralized tv system | furnished | cellar | shared garden | window frames in triple glass / pvcdouble exposure,5,1 in garage/box,available,200,1965,good condition / liveable,niguarda,3,central,f
1,390000,130,2,yes,5,security door | external exposure | balcony | full day concierge | centralized tv system | cellar | shared garden | window frames in glass / wood,8,1 in garage/box,NA,333,1970,to be refurbished,giambellino,2,central,g
1,595000,105,2,yes,3,electric gate | optic fiber | video entryphone | alarm system | security door | balcony | terrace | centralized tv system | cellar | window frames in double glass / wood | double exposure,7,1 in shared parking,available,200,2005,excellent / refurbished,dergano,4,independent,NA
1,299000,65,1,yes,3,security door | internal exposure | balcony | full day concierge | centralized tv system | furnished | window frames in double glass / pvc,8,no,available,200,1970,excellent / refurbished,tre castelli - faenza,1,central,g
1,440000,120,2,yes,3,electric gate | optic fiber | video entryphone | alarm system | security door | single tv system | window frames in double glass / wood | double exposure,3,1 in garage/box,available,240,1999,good condition / liveable,prato centenaro,2,independent,e
1,507000,52,1,yes,2,electric gate | optic fiber | video entryphone | alarm system | security door | centralized tv system | window frames in double glass / pvcdouble exposure,8,no,available,No condominium fees,2023,new / under construction,buenos aires,2,independent,c
1,690000,140,2,yes,3,hydromassage | optic fiber | video entryphone | alarm system | security door | external exposure | closet | terrace | half-day concierge | centralized tv system | furnished | cellar | window frames in double glass / wood,8,no,available,350,1960,excellent / refurbished,monte rosa - lotto,2,central,f
1,369000,67,1,yes,2,optic fiber | video entryphone | security door | balcony | centralized tv system | furnished | window frames in double glass / metal | double exposure,4,no,available,250,1930,good condition / liveable,lodi - brenta,2,central,f
1,850000,155,2,yes,4,electric gate | optic fiber | video entryphone | security door | internal exposure | closet | balcony | terrace | full day concierge | single tv system | furnished | cellar | shared garden | window frames in glass / pvc,6,"2 in garage/box, 2 in shared parking",available,450,1970,good condition / liveable,bande nere,6,central,f
1,250000,51,1,yes,2,electric gate | optic fiber | video entryphone | security door | external exposure | balcony | centralized tv system | partially furnished | shared garden | window frames in double glass / wood,5,no,available,167,2000,good condition / liveable,santa giulia,ground floor,independent,g
1,100000,23,1,yes,1,optic fiber | security door | external exposure | centralized tv system | furnished | cellar | window frames in double glass / pvc,6,no,available,NA,1950,good condition / liveable,parco trotter,6,central,g
1,432000,90,2,yes,3,security door | balcony | full day concierge | cellar,6,no,available,100,NA,new / under construction,gambara,1,central,g
1,1350000,207,2,yes,5+,fireplace | optic fiber | security door | balcony | full day concierge | centralized tv system | cellar | window frames in glass / wood | double exposure,7,no,available,600,1950,good condition / liveable,repubblica,3,central,g
1,700000,92,1,yes,3,security door | closet | balcony | full day concierge | centralized tv system | partially furnished | cellar | private garden | window frames in double glass / pvcdouble exposure,7,no,available,300,1960,excellent / refurbished,centrale,2,central,NA
1,1107000,169,2,yes,4,electric gate | optic fiber | video entryphone | security door | terrace | full day concierge | pool | centralized tv system | cellar | shared garden | window frames in double glass / metal | double exposure,23,no,available,NA,2027,new / under construction,cascina merlata - musocco,2,central,NA
1,379000,81,1,yes,3,attic | optic fiber | video entryphone | security door | balcony | full day concierge | centralized tv system | furnished | cellar | shared garden | window frames in double glass / pvc,7,no,NA,208,1970,good condition / liveable,san siro,4,central,d
